"asin","product_avg_ratings","price","main_cat","rank"
"B0001XDU2Q",4.22360248447205,28,"1",12891
"B0001XLSPC",4,44.88,"0",1166778
"B0001Y74TU",4.5,10,"1",64080
"B0001Y74WM",4.29059829059829,20,"1",27630
"B0001Z66UM",3.9014598540146,9.95,"1",1598
"B0001Z980C",4.51612903225806,40,"1",53135
"B0001ZA4M8",5,37,"1",358441
"B000209JPU",4.17307692307692,11.95,"0",179473
"B000209JS2",4.20444444444444,12.25,"0",251935
"B00021AJ5I",4.67415730337079,88,"1",27950
"B00021AKJI",4.27892561983471,82,"1",16726
"B00021B3XU",4.2289156626506,25,"1",291321
"B00021BODY",5,34,"1",1283790
"B00021CDQ6",4.38673341677096,17.5,"1",11741
"B00021CJ56",4.58823529411765,22.4,"1",62083
"B00021CPNC",4.5,39.8,"0",259329
"B00021D1DK",4.02857142857143,27,"1",90688
"B00021D2XO",4.33802816901408,9,"1",21065
"B00021D2Z2",4.46258503401361,9.5,"1",13169
"B00021DBA8",4.05405405405405,65,"1",23055
"B00021DEY6",4.5,26,"1",281140
"B00021DJ32",4.54974489795918,34.5,"0",505302
"B00021DOZ0",4.47619047619048,29.98,"1",34389
"B00021E2DI",4.5,57.27,"0",418862
"B00021KD2C",4.18210862619808,10.49,"0",5033
"B00021UR3C",4.14569536423841,12,"1",17221
"B00021VLXM",4.72566371681416,31.82,"0",28310
"B00021W06Y",5,4,"0",1820235
"B00021W0IC",4,12.95,"0",1851720
"B00021W0VY",2,4,"0",1215577
"B00021XGB2",5,3.5,"0",114910
"B00023AOUQ",5,9.75,"0",2331974
"B0002564EE",4.2,10.49,"0",729195
"B00025WYZC",4.5241935483871,28,"1",17305
"B00026ITZA",4.875,85,"1",223899
"B000270BG4",4.8,79.93,"0",129125
"B000273BM0",4.13461538461539,12.75,"0",687874
"B00027C9AU",4.66666666666667,15,"0",1670314
"B00027U5QA",3,24,"1",118226
"B00028LYO6",4.24886877828054,6.99,"0",30339
"B00028ORTK",4.18,17.07,"0",115073
"B00028Q7IO",4.17777777777778,7.12,"0",428669
"B0002AASE6",4.27777777777778,18,"1",36382
"B0002C72AM",5,4.92,"0",438981
"B0002CAAU6",5,56.31,"0",2721838
"B0002CEIQ8",4.13851351351351,9.99,"1",36727
"B0002DLQ5I",4.66666666666667,7.91,"0",368271
"B0002DNTE4",5,14.99,"0",1680392
"B0002DU57I",3.88,31.37,"0",113065
"B0002GFKXY",4.8,1.99,"0",1490824
"B0002GFKYI",3.85714285714286,7.33,"0",967148
"B0002H842C",4.51578947368421,30,"1",83063
"B0002HRIII",2,21.99,"0",2418125
"B0002JBXG4",4.64516129032258,25,"1",57666
"B0002JGHAQ",2.33333333333333,7.4,"0",1556079
"B0002JGIZA",4.08928571428571,11.65,"0",82905
"B0002JHI1I",4.12352941176471,8.27,"0",141988
"B0002L2JLA",4.83333333333333,39.5,"1",169899
"B0002L2JLU",4.52136752136752,37.5,"1",63051
"B0002L2JT2",4.39130434782609,28,"1",59404
"B0002L93N2",3.70705882352941,59.99,"1",4357
"B0002LJXQE",4.57142857142857,50,"0",342129
"B0002LK3XG",4.47368421052632,40.5,"1",69230
"B0002MES86",4.42672413793103,60,"1",157317
"B0002MFL00",3,29.7,"1",495484
"B0002MPS7G",4.24734982332155,30.73,"1",29916
"B0002MQ9GK",3.97619047619048,34.99,"0",98472
"B0002PFDYQ",4.10112359550562,19.5,"1",13840
"B0002PFG16",4.22222222222222,24.5,"1",113245
"B0002PU864",3.23287671232877,9.51,"0",29361
"B0002RI2PG",4.37808641975309,27,"1",1437
"B0002SHTZE",4.54635761589404,49.99,"1",19624
"B0002SHUPI",4.10975609756098,38.01,"1",35913
"B0002SHUQC",3.94886363636364,49.99,"1",40670
"B0002SVNX8",3.13333333333333,36.9,"0",939520
"B0002UJQL2",4,4.99,"0",1198055
"B0002VNKPY",4.16216216216216,26,"1",15072
"B0002VNKRW",3.93650793650794,26,"1",28323
"B0002W09UC",4.38202247191011,3.74,"0",220688
"B0002WUHU4",4,12.85,"0",150636
"B0002X3SH2",4.38888888888889,38,"1",8320
"B0002X4F0Q",4.30578512396694,40,"1",28282
"B0002X9038",3.94753086419753,45,"1",12397
"B0002XBTVO",4.32467532467532,44,"1",6748
"B0002XHKM6",4,0.58,"0",1251879
"B0002Y5JEG",4.57352941176471,68.6,"1",28960
"B0002YLWOC",5,44,"0",215541
"B0002YYE3S",2.88636363636364,104,"1",342330
"B0002Z1318",1.5,29.99,"0",2038069
"B0002Z8GMM",2.66666666666667,9.34,"0",1694029
"B0002Z8HVM",5,7.89,"0",32763
"B0002Z8LOA",4.19444444444444,14.5,"1",16667
"B0002Z8OHE",4.75,11.58,"0",135077
"B0002Z90RM",4.38056680161943,14.5,"1",7707
"B0002ZOD9M",4.06349206349206,28,"1",44328
"B0002ZOD9W",4.140625,31,"1",160024
"B0002ZODA6",4.27,39,"1",25751
"B0002ZODAG",4.5,12,"1",257294
"B0002ZOF22",4,25,"1",75541
"B0002ZOF2C",4.20689655172414,26,"1",43192
"B0002ZOF2M",4.37142857142857,27,"1",52313
"B0002ZOF2W",4.11111111111111,30,"1",89272
"B0002ZOF36",2.76,53,"1",416356
"B0002ZW5UQ",4.1471098265896,46.95,"1",5916
"B0002ZZT5Y",4.44736842105263,30.5,"1",37543
"B0003MJFSS",3.75,20,"1",206224
"B0003MJITY",3,18,"1",304392
"B0004RX5TW",4.85714285714286,8,"0",660652
"B00063M3EC",4.22950819672131,10.5,"1",4363
"B00067WIZC",4.5,22,"1",587849
"B00067WJ42",3.25,22,"1",207557
"B00067WJ56",3.33333333333333,22,"1",476207
"B00067WRC6",5,64,"1",835418
"B00067WRNU",3.66666666666667,32,"1",279400
"B000684GPQ",4,46,"1",334499
"B000684H1Y",4.66666666666667,46,"1",186986
"B000684H28",1,26,"1",375180
"B000684HDW",1,96,"1",864229
"B000684HEG",4.26315789473684,48,"1",73350
"B000684HGE",5,52,"1",375942
"B000684HJG",4.44444444444444,28,"1",183218
"B000684HU0",5,58,"1",436761
"B000684HUA",3.75,60,"1",352960
"B000689NN6",4,19.95,"0",1019223
"B00068UP6A",4,20.18,"0",1278234
"B0006B43SS",4.05161290322581,8,"1",19655
"B0006B4VVW",4.50877192982456,19,"1",9039
"B0006B4YPU",5,45,"0",823288
"B0006BDS7U",4.38095238095238,29,"1",28057
"B0006BDTWY",4.54545454545455,46,"1",57860
"B0006FMQWO",4.51724137931035,32,"1",6876
"B0006FMR28",3.88888888888889,75,"1",50881
"B0006FMUJ8",4.36363636363636,20,"1",271580
"B0006JDR64",3.21428571428571,60,"1",1144760
"B0006LJ45U",4.40650406504065,35,"1",198782
"B0006M2PPK",5,59.98,"0",2664746
"B0006M56BK",4.23350253807107,4.49,"0",182920
"B0006MVSJY",4.54285714285714,4.9,"0",61287
"B0006N28D8",1,5.9,"0",2919927
"B0006NF8CG",5,110,"1",308222
"B0006NF8GM",3,75,"1",739687
"B0006NF8GW",5,55,"1",379812
"B0006NXAHQ",4.44444444444444,15.99,"0",296637
"B0006NXBIE",4.53125,150,"1",42683
"B0006NXBNY",4.64285714285714,8.99,"0",1203796
"B0006NY1AQ",4.3265306122449,33,"1",93037
"B0006NY1NS",2.1,1.5,"0",319223
"B0006NY1T2",5,3.85,"0",316265
"B0006NYUE8",5,20,"0",1013889
"B0006NYUEI",5,20,"0",1258897
"B0006NZ5Q0",5,3.95,"0",1338707
"B0006O10P4",4.46666666666667,7.76,"0",586248
"B0006O10TA",4.44444444444444,8.44,"0",545951
"B0006O2IUA",4,7.5,"0",1404858
"B0006O4M8Q",4.68191268191268,15,"1",2004
"B0006OCC0Q",3.56,16.49,"0",123769
"B0006OMG8O",4.3125,9.5,"1",63834
"B0006ONA7A",4.9,22.49,"0",124305
"B0006PJRNA",3.66666666666667,10,"1",462584
"B0006PJRQ2",4,10,"1",350843
"B0006PJRRG",4.23205574912892,10,"1",137129
"B0006PJRVM",4.23570432357043,10,"1",55371
"B0006PJSR0",3,16.9,"0",1227585
"B0006PKAY0",5,10.32,"0",61554
"B0006PKH0M",5,7.95,"0",404240
"B0006PKIQA",4.16987179487179,10.5,"1",1484
"B0006PLNPU",3,10,"1",181629
"B0006PLNXW",4.33333333333333,10,"1",331212
"B0006PLPDU",4.48484848484848,10,"1",12194
"B0006PLPE4",4.16379310344828,10,"1",8651
"B0006Q014S",4.33333333333333,29.08,"0",94845
"B0006U6RQU",4.46428571428571,17.99,"0",252479
"B0006U6RUG",4.16666666666667,19.99,"0",447038
"B0006V2PJW",4.5,7.99,"0",703262
"B0006VSVJ0",4.45192307692308,32,"1",292956
"B0006YXZIO",5,12.47,"0",182075
"B0006Z61DE",1,12.99,"0",2740319
"B0006ZEVU4",4.16806722689076,21,"1",18257
"B0006ZEVUY",4.67567567567568,22,"1",10632
"B0006ZHJXK",4.64285714285714,12.15,"1",154332
"B00070D21W",4.14574898785425,45,"0",5529
"B00070JJ4G",4.57142857142857,42,"1",96451
"B00070PNGO",4.43119266055046,45,"1",35306
"B00070PNIM",4.19298245614035,52,"1",89481
"B00078MOKO",5,29,"0",1053543
"B00078ZJRE",5,6,"0",1665629
"B00079FOIW",4.70588235294118,12.95,"0",228288
"B00079PB6M",5,69,"0",170990
"B0007CO926",4.64705882352941,24,"1",531989
"B0007CXXYG",4.36082474226804,15.99,"1",882
"B0007CXY0E",4.47058823529412,22,"1",18288
"B0007CXY2C",4.37950664136622,35,"1",20654
"B0007CXY72",4.50909090909091,26.75,"1",39914
"B0007CXYA4",4.3125,21,"1",17638
"B0007CXYAE",4.08308605341246,15.99,"1",3137
"B0007CXYN6",4.3469387755102,14.5,"1",13311
"B0007D02CQ",4.51162790697674,11.5,"1",22843
"B0007KXW1M",4.05263157894737,15.9,"0",107727
"B0007L44RM",1,51.9,"0",1957895
"B0007LYL5C",4,22,"0",3264594
"B0007M11XQ",4.61931527848748,10,"1",752
"B0007MYMW8",3.66666666666667,15,"1",94232
"B0007OC0A2",4.75,12.78,"0",80359
"B0007QKY6M",4,25,"0",1533712
"B0007QKY80",2.25,25,"0",2084268
"B0007QKYA8",5,50,"0",1155576
"B0007QKYAS",4.33333333333333,22.5,"0",573569
"B0007RUV8M",4.40625,16,"1",32743
"B0007UAYWM",5,24,"0",1809283
"B0007UBHV4",1.5,79.95,"0",3053240
"B0007UE34W",5,98.5,"0",1410303
"B0007VU9O4",3.375,34.55,"0",540640
"B0007WRME8",5,60.87,"0",1652860
"B0007WX0EY",4.55050505050505,11,"1",164850
"B0007WZ7YU",4.2683284457478,146,"1",36338
"B0007Z4JE6",4.51612903225806,36,"1",29151
"B0007Z4JEQ",4.5,50,"1",29917
"B0007Z8QVI",4.45,21,"0",34402
"B0007ZDXHU",4.75,74.95,"0",948123
"B0007ZG2FU",4.2,42,"1",96507
"B0007ZJD7E",4.41176470588235,22.3,"1",138414
"B0007ZJD88",3.6,36,"1",126898
"B00080AZQG",4.69047619047619,39.9,"1",266106
"B00080AZWU",3.375,25.2,"1",147769
"B00080DK86",4.24734982332155,35,"1",4672
"B00081UBUA",4.76923076923077,19.5,"1",191156
"B0008E4860",4.53846153846154,39.18,"0",365893
"B0008GCVU8",3.625,7.76,"0",129251
"B00091QS38",3.65384615384615,6.8,"0",330948
"B00092M2X2",3.73232323232323,47,"1",182420
"B00092M35O",3.65462753950339,29.99,"1",168012
"B00095LIP2",4.45588235294118,26,"1",21361
"B0009DSOLK",3.8,102,"1",99797
"B0009ET6ZW",3.8,8.8,"0",81020
"B0009EXM52",4.47938144329897,10.5,"1",2507
"B0009FHJOG",4,27,"1",75659
"B0009GIHT6",4.13084112149533,26,"1",7035
"B0009HGF9O",5,23,"1",724510
"B0009HKOHS",3.75,20,"1",491937
"B0009I7M18",4.61643835616438,24.99,"1",162273
"B0009ION3S",4.47826086956522,17,"0",429807
"B0009JQN9Y",2,9,"1",125191
"B0009JRQZO",5,20.5,"0",1354155
"B0009KKGVY",5,37.5,"0",683269
"B0009MFUOA",3.96919431279621,18.23,"0",702129
"B0009MFUOU",3.75,9.66,"0",1096710
"B0009MFUPY",4.59245283018868,9.09,"0",495046
"B0009NUJXQ",4.16666666666667,40,"1",36863
"B0009OAGQU",4.6046511627907,71,"1",137697
"B0009OAGVA",4.8,64,"1",28829
"B0009OAHWI",4.51097804391218,73.37,"1",41785
"B0009OAI1I",4.51724137931035,50,"1",73269
"B0009OAI1S",4.5225988700565,69,"1",44720
"B0009OAI3Q",4.48387096774194,29.5,"1",30091
"B0009OAI40",4.48300970873786,39.5,"1",12793
"B0009OAI4U",4.85714285714286,48,"1",35365
"B0009OMNJI",4.44285714285714,14,"1",33266
"B0009OMNO8",4.2695652173913,13,"1",14864
"B0009OMNOI",3.8695652173913,10,"1",21840
"B0009OMNOS",4.82758620689655,15,"1",19897
"B0009OMNPM",4.78787878787879,11.5,"1",8720
"B0009OMNQQ",4.41463414634146,12,"1",3845
"B0009OMNTI",4.45,12.99,"1",50163
"B0009OMNWA",3.95,11,"1",37795
"B0009OMOV0",4.5,46,"1",378035
"B0009OMOVU",3.93333333333333,70,"1",134172
"B0009OMOYW",5,43,"1",148611
"B0009PJRMS",3.64,3.49,"0",502155
"B0009PL3B6",4.44067796610169,44,"1",85540
"B0009R14T0",4.35897435897436,6.99,"0",282597
"B0009SQHF0",3,16.33,"0",1752029
"B0009STDD8",4.44860943168077,92,"1",13123
"B0009V0Y8S",4.33333333333333,20,"1",108676
"B0009V5R58",4.25,18,"1",211670
"B0009VNJ4O",4.8,7.29,"0",707578
"B0009XEQ1C",4.53846153846154,69.95,"1",78895
"B0009XMKC4",3,11.99,"0",1535869
"B0009YDO46",4.4,11.01,"0",302142
"B0009YDOIC",4.5,16,"0",506135
"B0009YDOIM",4.54838709677419,16,"0",115674
"B0009YDOIW",4.75,16,"0",160925
"B0009YGKJ2",4.40217391304348,29,"1",37643
"B000A11ENG",5,24.66,"0",1288709
"B000A1IVEG",5,10.32,"0",56938
"B000A2LRBY",4.21608040201005,28.99,"0",2483
"B000A2NHP8",4.66923076923077,24,"1",22978
"B000A3UX6S",3.57575757575758,25,"1",41778
"B000A3V21S",5,7.23,"0",1164240
"B000A5CPIU",3.62068965517241,18,"1",365250
"B000A5CPJE",4,18,"1",183025
"B000A5CPJY",3.82142857142857,22,"1",251379
"B000A5CPK8",4.42857142857143,25,"1",70009
"B000A5CPKS",2.66666666666667,75,"1",559126
"B000A5CPLC",3.66666666666667,40,"1",648599
"B000A5CPMQ",4.25,38,"1",309411
"B000A84936",3.90909090909091,48,"1",140035
"B000A84972",4.625,33.5,"1",149453
"B000A849C2",4.36842105263158,34.5,"1",72314
"B000A849CM",4.22916666666667,34.5,"1",254696
"B000A8F70A",1.66666666666667,15.69,"1",142051
"B000AAAWSK",4.3125,5.83,"0",103349
"B000AADG60",3.93181818181818,11.98,"0",53539
"B000ABBJSG",4.2,35,"1",183455
"B000ACR8Z8",3.57142857142857,9.24,"0",305738
"B000ADDVFI",4.19230769230769,51.8,"1",124463
"B000AJ23EC",4.32258064516129,64,"1",126943
"B000ALFRRU",4.1304347826087,16.99,"0",572599
"B000AMA45E",2,110,"0",425237
"B000AON026",2.8,8.99,"0",264219
"B000AQG030",3.75652173913043,11.95,"1",44201
"B000AQI2EK",4.0609756097561,19.99,"1",287
"B000AQIJ6G",5,7.93,"0",27277
"B000ASDGK8",4.21909290416971,59.99,"1",882
"B000ASDX3S",4.27367055771725,49.99,"1",57724
"B000ASNTRS",4.3375,49.54,"1",384189
"B000ASQ0L0",4.31428571428571,24,"1",116801
"B000AUZ4UG",4.6,40,"0",300416
"B000AV31LE",4.6,49,"1",83249
"B000AV4XW0",3.82758620689655,54,"1",58126
"B000AXODRI",4.63157894736842,10.53,"1",52911
"B000AXRT3S",3.94117647058824,89,"1",238411
"B000AZ3S7C",5,125,"1",524161
"B000AZANGG",3.54545454545455,94,"1",173390
"B000AZAO9C",4.2,79,"1",203689
"B000B5NEKM",5,15.01,"0",1261119
"B000B626ZK",4,13.65,"1",10946
"B000B7C1TK",4.33333333333333,46,"1",875981
"B000B83E3Q",5,26.99,"0",776160
"B000B9ECAE",3.54564315352697,40,"1",27832
"B000BBGS40",3.42953020134228,59.99,"1",38017
"B000BCYRL0",4,9.99,"0",2862542
"B000BGLUPW",4.46296296296296,20,"1",18568
"B000BIGOY2",4.24372759856631,17.1,"1",268810
"B000BIPMC2",4.51206434316354,58,"1",17235
"B000BJ1CGQ",3.86221294363257,49.95,"0",34350
"B000BJUS6Q",4.31730769230769,29,"1",4874
"B000BO4XO4",5,73,"1",99655
"B000BO6HKC",4,26,"1",523020
"B000BO6KFO",5,52,"1",462414
"B000BO8Q1A",1,25,"0",1342879
"B000BOA24O",3.75,35,"1",488607
"B000BOA29O",4,35,"1",221226
"B000BOA3CK",3.75,38,"1",312046
"B000BOA3S4",2.5,26,"1",682478
"B000BOA3U2",4.75,22,"1",345300
"B000BOA5J6",4,37,"1",358236
"B000BOA6VS",3,18.55,"1",1075916
"B000BOCRVA",4.59927797833935,18,"1",5998
"B000BP0ND8",4.14285714285714,90,"1",380713
"B000BP0R8Y",3,33,"1",111681
"B000BR4C6U",4.61538461538461,75,"1",189994
"B000BRH99C",4.33333333333333,22,"1",1046614
"B000BX1Z00",4.51039697542533,49.5,"1",30233
"B000BYTGNW",4.85106382978723,24,"1",44857
"B000BYTKQU",4.81081081081081,23.1,"1",67947
"B000BYVBIU",3.97196261682243,89,"1",93820
"B000C1UBWO",4.33333333333333,390,"1",502469
"B000C1UBXS",4.88405797101449,62.49,"0",1749290
"B000C1VSU8",4.55294117647059,67,"1",32003
"B000C1VSUS",4.46276595744681,117,"1",18467
"B000C1VV82",5,165,"1",405263
"B000C1VYDY",4.33,89,"1",44464
"B000C1VYSO",4.5,79,"1",139415
"B000C1W032",4.63806970509383,75,"1",61573
"B000C1Z1H4",4.16470588235294,30,"1",194329
"B000C1Z1WO",4.54117647058824,52,"1",52797
"B000C1Z2D2",4.54189435336976,65,"1",75006
"B000C1Z2GO",4.25,125,"1",473427
"B000C1Z6TW",4.28301886792453,74,"1",57903
"B000C1Z782",4.41666666666667,82,"1",54021
"B000C21050",4.41975308641975,28,"1",26684
"B000C212QC",4.32941176470588,58,"1",22074
"B000C2148S",4.34814814814815,76,"1",173538
"B000C214AQ",4.59090909090909,62,"1",145160
"B000C214HE",4.32978723404255,190,"1",98994
"B000C214PQ",4.5974025974026,68,"1",81966
"B000C2150U",3.99193548387097,65,"1",116388
"B000C2169A",4.22666666666667,84,"1",196146
"B000C21AHS",4.5,29.95,"0",678759
"B000C2317A",4.61038961038961,68,"1",147037
"B000CD3RD2",5,36.98,"0",2490421
"B000CESY7A",5,49.75,"0",1680638
"B000CGD0CC",5,32.5,"1",158706
"B000CNKITS",4.26760563380282,65,"1",301498
"B000CNKIVG",3.61538461538462,80,"1",463163
"B000CNTT9I",4.31144465290807,60,"1",33804
"B000CNUAVY",4.4,26.17,"0",29794
"B000CPZ18Y",3.48717948717949,18,"1",181922
"B000CQYJ4U",4.1,21,"1",139690
"B000CQYJMC",4.63414634146341,26,"1",684343
"B000CQYKVM",3.36363636363636,14,"1",318288
"B000CQYM9C",2.75,3,"1",113524
"B000CQYN9Q",4.0873786407767,36.5,"1",26835
"B000CQYNEG",5,120,"1",133666
"B000CQYNXW",5,127,"0",1924301
"B000CR0F4C",3.79310344827586,16.5,"1",39361
"B000CR0FGA",3.33333333333333,16,"1",306580
"B000CR0FGK",4.07142857142857,16,"1",363040
"B000CR0GQO",4.66666666666667,38,"1",60632
"B000CR0J0M",4.48453608247423,36.5,"1",14036
"B000CR2GU8",4.77777777777778,18,"1",200885
"B000CR4GAQ",3.25,34,"1",155009
"B000CR4JL2",5,20,"1",207242
"B000CROIU4",4.09090909090909,30,"1",178708
"B000CRQHNU",4.44247787610619,30,"1",133269
"B000CSLJB4",3.38461538461538,229,"1",178642
"B000CST4H0",3.265625,13.99,"0",53165
"B000DN7BYC",5,7.9,"0",892185
"B000DN7C1Y",4.52380952380952,11.03,"0",134541
"B000E0IO18",4.06666666666667,14.5,"0",782957
"B000E1ER9A",5,17.02,"0",618270
"B000E2NXCG",3.35714285714286,29.68,"1",142527
"B000E39PAO",4.5,5,"0",128637
"B000E3FHJ2",3,10,"0",582857
"B000E6Z6P4",4,33.35,"1",1018459
"B000E7SSEE",4.6,48,"1",263878
"B000E8SVBS",4.53846153846154,25,"1",165566
"B000E9C0Q4",4,3.95,"0",416635
"B000E9TMC4",5,23.03,"0",311683
"B000EA8VSE",1.875,18.87,"0",869907
"B000EB8DC2",4.83333333333333,21.41,"0",290975
"B000ECTKOQ",4.66666666666667,23.21,"0",330731
"B000EGH1RU",3.10810810810811,7.38,"0",294776
"B000EGK4TW",4.1219512195122,4.29,"0",125840
"B000EGMBO8",4.22857142857143,11.17,"0",297735
"B000EGMC74",4.13636363636364,7,"0",46644
"B000EGR396",4.66666666666667,16.99,"0",557661
"B000EIBLEC",3,22.75,"0",2070805
"B000EM16DE",4.15277777777778,22,"1",496943
"B000EM79NK",4.47619047619048,31,"1",55174
"B000EM9CU8",4.34361233480176,16,"1",8494
"B000EMDK2Y",4.27450980392157,16,"1",9650
"B000EMDK38",4.00854700854701,13.88,"1",10270
"B000EOI176",2,29.99,"0",2853879
"B000EOWY42",5,18.49,"0",555915
"B000ER8EAM",3.66666666666667,20,"1",217904
"B000ERL33W",4.11787072243346,200,"1",138518
"B000EVELCI",3,5.79,"0",550700
"B000EWNX9Y",3,123.73,"0",830413
"B000EZOC00",5,12.98,"0",142214
"B000F16X8C",3,4.21,"0",822784
"B000F4EMP0",4.38909090909091,29.99,"1",745
"B000F4GIP2",4.44,41,"1",12912
"B000F4GLHM",3.67241379310345,12.99,"0",222615
"B000F4PDC6",4.66666666666667,13.82,"0",1105289
"B000F6RNS6",2,32.84,"0",3254133
"B000F79YXW",4.29411764705882,33,"1",232268
"B000F8JSXC",3.5,11.2,"0",1108717
"B000F8MBHC",5,16.99,"0",213718
"B000F9PCFO",4.375,5.94,"0",778455
"B000FCRQ6O",5,63,"1",35300
"B000FD98MS",4.39240506329114,105,"1",71698
"B000FDB9D4",5,41,"1",47275
"B000FDB9MU",4.27868852459016,63.5,"1",36465
"B000FDCXPW",4.47222222222222,28.8,"1",18054
"B000FDDK5E",4.51724137931035,38,"0",300407
"B000FDVVVE",4.4026402640264,25,"1",7042
"B000FDZIP4",3.96153846153846,19.5,"1",101625
"B000FEGUIM",3.64705882352941,7.97,"0",1093407
"B000FGTTTM",4.45121951219512,25,"1",2892
"B000FGTTTW",4.46428571428571,40,"1",12602
"B000FGTTUG",4.53007518796993,25,"1",3167
"B000FGVJWW",4.4009009009009,40,"1",4393
"B000FGVJXQ",4.375,50,"1",56945
"B000FGWU0M",4.59340659340659,25,"1",3623
"B000FGWU0W",4.57264957264957,25,"1",973
"B000FGWU16",4.5,50,"1",271894
"B000FGYLCW",4.55789473684211,32,"1",10767
"B000FGYLDG",4.6,50,"1",364558
"B000FH65E8",4.68421052631579,45,"1",166870
"B000FH6QKG",1,24.99,"0",948395
